country_of_birth,country_of_destination,education_level,sex,number
ARG,LVA,ISCED 5/6/7/8,Female,5.0
ARG,LVA,ISCED 5/6/7/8,Male,29.0
ARG,MEX,ISCED 5/6/7/8,Female,20862.0
ARG,MEX,ISCED 5/6/7/8,Male,25024.0
ARG,NOR,ISCED 5/6/7/8,Female,1526.0
ARG,NOR,ISCED 5/6/7/8,Male,1498.0
ARG,NZL,ISCED 5/6/7/8,Female,3123.0
ARG,NZL,ISCED 5/6/7/8,Male,2364.0
ARG,POL,ISCED 5/6/7/8,Female,437.0
ARG,POL,ISCED 5/6/7/8,Male,855.0
ARG,PRT,ISCED 5/6/7/8,Female,2129.0
ARG,PRT,ISCED 5/6/7/8,Male,1669.0
ARG,SVK,ISCED 5/6/7/8,Female,52.0
ARG,SVK,ISCED 5/6/7/8,Male,85.0
ARG,SVN,ISCED 5/6/7/8,Female,591.0
ARG,SVN,ISCED 5/6/7/8,Male,565.0
ARG,SWE,ISCED 5/6/7/8,Female,4450.0
ARG,SWE,ISCED 5/6/7/8,Male,4070.0
ARG,TUR,ISCED 5/6/7/8,Female,46.0
ARG,TUR,ISCED 5/6/7/8,Male,38.0
ARG,USA,ISCED 5/6/7/8,Female,223354.0
ARG,USA,ISCED 5/6/7/8,Male,208647.0
AUS,AUS,ISCED 5/6/7/8,Female,11664531.0
AUS,AUS,ISCED 5/6/7/8,Male,8209066.0
AUS,BGR,ISCED 5/6/7/8,Female,72.0
AUS,BGR,ISCED 5/6/7/8,Male,108.0
AUS,CAN,ISCED 5/6/7/8,Female,47470.0
AUS,CAN,ISCED 5/6/7/8,Male,45530.0
AUS,CHE,ISCED 5/6/7/8,Female,8459.370063781738
AUS,CHE,ISCED 5/6/7/8,Male,9240.039009094238
AUS,COL,ISCED 5/6/7/8,Female,341.0
AUS,COL,ISCED 5/6/7/8,Male,691.0
AUS,CZE,ISCED 5/6/7/8,Female,406.0
AUS,CZE,ISCED 5/6/7/8,Male,946.0
AUS,DNK,ISCED 5/6/7/8,Female,2953.0
AUS,DNK,ISCED 5/6/7/8,Male,3656.0
AUS,ESP,ISCED 5/6/7/8,Female,7306.0
AUS,ESP,ISCED 5/6/7/8,Male,7461.0
AUS,EST,ISCED 5/6/7/8,Female,80.0
AUS,EST,ISCED 5/6/7/8,Male,336.0
AUS,FRA,ISCED 5/6/7/8,Female,12183.185976743698
AUS,FRA,ISCED 5/6/7/8,Male,8907.877891540527
AUS,GRC,ISCED 5/6/7/8,Female,14058.0
AUS,GRC,ISCED 5/6/7/8,Male,11967.0
AUS,HUN,ISCED 5/6/7/8,Female,534.0
AUS,HUN,ISCED 5/6/7/8,Male,813.0
AUS,ITA,ISCED 5/6/7/8,Female,7941.999962314963
AUS,ITA,ISCED 5/6/7/8,Male,5393.999992519617
AUS,LTU,ISCED 5/6/7/8,Female,22.0
AUS,LTU,ISCED 5/6/7/8,Male,37.0
AUS,LUX,ISCED 5/6/7/8,Female,419.0
AUS,LUX,ISCED 5/6/7/8,Male,441.0
AUS,LVA,ISCED 5/6/7/8,Female,91.0
AUS,LVA,ISCED 5/6/7/8,Male,241.0
AUS,NOR,ISCED 5/6/7/8,Female,2178.0
AUS,NOR,ISCED 5/6/7/8,Male,3443.0
AUS,NZL,ISCED 5/6/7/8,Female,47556.0
AUS,NZL,ISCED 5/6/7/8,Male,33882.0
AUS,POL,ISCED 5/6/7/8,Female,819.0
AUS,POL,ISCED 5/6/7/8,Male,1363.0
AUS,PRT,ISCED 5/6/7/8,Female,1781.0
AUS,PRT,ISCED 5/6/7/8,Male,1135.0
AUS,SVK,ISCED 5/6/7/8,Female,113.0
AUS,SVK,ISCED 5/6/7/8,Male,96.0
AUS,SVN,ISCED 5/6/7/8,Female,250.0
AUS,SVN,ISCED 5/6/7/8,Male,223.0
AUS,SWE,ISCED 5/6/7/8,Female,3710.0
AUS,SWE,ISCED 5/6/7/8,Male,6780.0
AUS,TUR,ISCED 5/6/7/8,Female,636.0
AUS,TUR,ISCED 5/6/7/8,Male,438.0
AUS,USA,ISCED 5/6/7/8,Female,151603.0
AUS,USA,ISCED 5/6/7/8,Male,172352.0
AUT,AUS,ISCED 5/6/7/8,Female,11093.0
AUT,AUS,ISCED 5/6/7/8,Male,9119.0
AUT,BGR,ISCED 5/6/7/8,Female,170.0
AUT,BGR,ISCED 5/6/7/8,Male,256.0
AUT,CAN,ISCED 5/6/7/8,Female,15565.0
AUT,CAN,ISCED 5/6/7/8,Male,15485.0
AUT,CHE,ISCED 5/6/7/8,Female,36631.718030929565
AUT,CHE,ISCED 5/6/7/8,Male,44190.38827133179
AUT,COL,ISCED 5/6/7/8,Female,183.0
AUT,COL,ISCED 5/6/7/8,Male,297.0
AUT,CZE,ISCED 5/6/7/8,Female,822.0
AUT,CZE,ISCED 5/6/7/8,Male,1398.0
AUT,DNK,ISCED 5/6/7/8,Female,1730.0
AUT,DNK,ISCED 5/6/7/8,Male,1517.0
AUT,ESP,ISCED 5/6/7/8,Female,7224.0
AUT,ESP,ISCED 5/6/7/8,Male,6165.0
AUT,EST,ISCED 5/6/7/8,Female,120.0
AUT,EST,ISCED 5/6/7/8,Male,200.0
AUT,FRA,ISCED 5/6/7/8,Female,12685.624241828918
AUT,FRA,ISCED 5/6/7/8,Male,8622.680940151215
AUT,GRC,ISCED 5/6/7/8,Female,1994.0
AUT,GRC,ISCED 5/6/7/8,Male,963.0
AUT,HUN,ISCED 5/6/7/8,Female,2673.0
AUT,HUN,ISCED 5/6/7/8,Male,3257.0
AUT,ITA,ISCED 5/6/7/8,Female,8400.000022821128
AUT,ITA,ISCED 5/6/7/8,Male,4145.999989956617
AUT,LTU,ISCED 5/6/7/8,Female,36.0
AUT,LTU,ISCED 5/6/7/8,Male,14.0
AUT,LUX,ISCED 5/6/7/8,Female,1263.0
AUT,LUX,ISCED 5/6/7/8,Male,1055.0
AUT,LVA,ISCED 5/6/7/8,Female,82.0
AUT,LVA,ISCED 5/6/7/8,Male,146.0
AUT,NOR,ISCED 5/6/7/8,Female,2074.0
AUT,NOR,ISCED 5/6/7/8,Male,1802.0
AUT,NZL,ISCED 5/6/7/8,Female,1143.0
AUT,NZL,ISCED 5/6/7/8,Male,903.0
AUT,POL,ISCED 5/6/7/8,Female,2018.0
AUT,POL,ISCED 5/6/7/8,Male,2009.0
AUT,PRT,ISCED 5/6/7/8,Female,712.0
AUT,PRT,ISCED 5/6/7/8,Male,600.0
AUT,SVK,ISCED 5/6/7/8,Female,556.0
AUT,SVK,ISCED 5/6/7/8,Male,870.0
AUT,SVN,ISCED 5/6/7/8,Female,1213.0
AUT,SVN,ISCED 5/6/7/8,Male,907.0
AUT,SWE,ISCED 5/6/7/8,Female,4510.0
AUT,SWE,ISCED 5/6/7/8,Male,4150.0
AUT,TUR,ISCED 5/6/7/8,Female,1750.0
AUT,TUR,ISCED 5/6/7/8,Male,1418.0
AUT,USA,ISCED 5/6/7/8,Female,52971.0
AUT,USA,ISCED 5/6/7/8,Male,61907.0
BEL,AUS,ISCED 5/6/7/8,Female,9541.0
BEL,AUS,ISCED 5/6/7/8,Male,8574.0
BEL,BGR,ISCED 5/6/7/8,Female,167.0
BEL,BGR,ISCED 5/6/7/8,Male,540.0
BEL,CAN,ISCED 5/6/7/8,Female,26795.0
BEL,CAN,ISCED 5/6/7/8,Male,27330.0
BEL,CHE,ISCED 5/6/7/8,Female,22051.580074310303
BEL,CHE,ISCED 5/6/7/8,Male,20219.230995178223
BEL,COL,ISCED 5/6/7/8,Female,501.0
BEL,COL,ISCED 5/6/7/8,Male,886.0
BEL,CZE,ISCED 5/6/7/8,Female,386.0
BEL,CZE,ISCED 5/6/7/8,Male,1237.0
BEL,DNK,ISCED 5/6/7/8,Female,1932.0
BEL,DNK,ISCED 5/6/7/8,Male,2095.0
BEL,ESP,ISCED 5/6/7/8,Female,34908.0
BEL,ESP,ISCED 5/6/7/8,Male,35496.0
BEL,EST,ISCED 5/6/7/8,Female,85.0
BEL,EST,ISCED 5/6/7/8,Male,334.0
BEL,FRA,ISCED 5/6/7/8,Female,161680.320830822
BEL,FRA,ISCED 5/6/7/8,Male,134952.95753765106
BEL,GRC,ISCED 5/6/7/8,Female,4018.0
BEL,GRC,ISCED 5/6/7/8,Male,2756.0
BEL,HUN,ISCED 5/6/7/8,Female,1108.0
BEL,HUN,ISCED 5/6/7/8,Male,1640.0
BEL,ITA,ISCED 5/6/7/8,Female,17918.999911665916
BEL,ITA,ISCED 5/6/7/8,Male,12055.999997854233
BEL,LTU,ISCED 5/6/7/8,Female,22.0
BEL,LTU,ISCED 5/6/7/8,Male,30.0
BEL,LUX,ISCED 5/6/7/8,Female,21728.0
BEL,LUX,ISCED 5/6/7/8,Male,28333.0
BEL,LVA,ISCED 5/6/7/8,Female,9.0
BEL,LVA,ISCED 5/6/7/8,Male,101.0
BEL,NOR,ISCED 5/6/7/8,Female,2069.0
BEL,NOR,ISCED 5/6/7/8,Male,2049.0
BEL,NZL,ISCED 5/6/7/8,Female,1179.0
BEL,NZL,ISCED 5/6/7/8,Male,870.0
BEL,POL,ISCED 5/6/7/8,Female,1093.0
BEL,POL,ISCED 5/6/7/8,Male,2041.0
BEL,PRT,ISCED 5/6/7/8,Female,5261.0
BEL,PRT,ISCED 5/6/7/8,Male,4565.0
BEL,SVK,ISCED 5/6/7/8,Female,79.0
BEL,SVK,ISCED 5/6/7/8,Male,295.0
BEL,SVN,ISCED 5/6/7/8,Female,139.0
BEL,SVN,ISCED 5/6/7/8,Male,170.0
BEL,SWE,ISCED 5/6/7/8,Female,3125.0
BEL,SWE,ISCED 5/6/7/8,Male,3455.0
BEL,TUR,ISCED 5/6/7/8,Female,3221.0
BEL,TUR,ISCED 5/6/7/8,Male,2238.0
BEL,USA,ISCED 5/6/7/8,Female,61003.0
BEL,USA,ISCED 5/6/7/8,Male,63711.0
BGD,AUS,ISCED 5/6/7/8,Female,72762.0
BGD,AUS,ISCED 5/6/7/8,Male,100358.0
BGD,BGR,ISCED 5/6/7/8,Female,26.0
BGD,BGR,ISCED 5/6/7/8,Male,96.0
BGD,CAN,ISCED 5/6/7/8,Female,105910.0
BGD,CAN,ISCED 5/6/7/8,Male,131410.0
BGD,CHE,ISCED 5/6/7/8,Female,1129.941017150879
BGD,CHE,ISCED 5/6/7/8,Male,1707.1040115356445
BGD,COL,ISCED 5/6/7/8,Male,14.0
BGD,CZE,ISCED 5/6/7/8,Female,139.0
BGD,CZE,ISCED 5/6/7/8,Male,625.0
BGD,DNK,ISCED 5/6/7/8,Female,1649.0
BGD,DNK,ISCED 5/6/7/8,Male,2794.0
BGD,ESP,ISCED 5/6/7/8,Female,2282.0
BGD,ESP,ISCED 5/6/7/8,Male,6537.0
BGD,EST,ISCED 5/6/7/8,Female,351.0
BGD,EST,ISCED 5/6/7/8,Male,998.0
BGD,FRA,ISCED 5/6/7/8,Female,6058.864853858948
BGD,FRA,ISCED 5/6/7/8,Male,12338.382976531982
BGD,GRC,ISCED 5/6/7/8,Female,507.0
BGD,GRC,ISCED 5/6/7/8,Male,3529.0
BGD,HUN,ISCED 5/6/7/8,Female,273.0
BGD,HUN,ISCED 5/6/7/8,Male,561.0
BGD,ITA,ISCED 5/6/7/8,Female,18149.99976213649
BGD,ITA,ISCED 5/6/7/8,Male,59338.99999779463
BGD,LTU,ISCED 5/6/7/8,Female,12.0
BGD,LTU,ISCED 5/6/7/8,Male,3.0
BGD,LUX,ISCED 5/6/7/8,Female,92.0
